iter	RMSE
0	21793481.21
1	21657682.71
2	21524000.33
3	21393033.47
4	21263616.14
5	21135731.98
6	21009983.84
7	20884753.5
8	20762025.5
9	20641782.52
10	20525751.56
11	20409137.07
12	20293492.41
13	20178040.3
14	20065322.89
15	19958150.24
16	19848870.96
17	19739852.05
18	19633060.54
19	19528193.57
20	19425794.55
21	19323017.54
22	19222729.79
23	19123265.74
24	19024818.8
25	18929278.66
26	18836260.99
27	18743011.41
28	18651821.06
29	18561646.38
30	18471800.16
31	18384687.56
32	18296802.25
33	18211958.76
34	18126727.64
35	18043023.04
36	17961302.02
37	17879340.4
38	17798899.5
39	17719644.01
40	17642527.03
41	17565189.98
42	17490589.4
43	17416206.39
44	17342778.56
45	17270356.4
46	17199351.85
47	17129397.73
48	17060873.43
49	16994063.03
50	16927229.84
51	16861436.11
52	16796314.64
53	16732727.5
54	16669071.43
55	16608019.02
56	16547705.54
57	16487547.89
58	16428673.48
59	16372500.4
60	16315066.78
61	16258197.44
62	16202320.08
63	16149267.33
64	16095108.1
65	16041701.7
66	15989387.76
67	15938525.58
68	15887280.3
69	15837288.93
70	15788219.45
71	15739695.84
72	15692292.07
73	15646799.31
74	15601576.63
75	15556605.47
76	15511359.11
77	15467581.76
78	15424009.74
79	15380750.96
80	15338727.53
81	15297625.37
82	15256927.67
83	15217401.78
84	15178472.88
85	15141149.48
86	15103610.74
87	15065928.45
88	15029825.64
89	14993876.76
90	14958735.16
91	14923870.05
92	14889674.4
93	14855299.66
94	14821806.22
95	14788714.06
96	14756100.86
97	14724461.3
98	14693103.94
99	14662690.99
100	14632317.32
101	14602464.79
102	14573270.14
103	14544866.15
104	14516652.53
105	14489100.28
106	14461879.18
107	14434693.8
108	14408375.63
109	14382183.87
110	14356077.55
111	14330751.06
112	14306306.67
113	14282574.15
114	14259401.48
115	14236061.53
116	14213395.51
117	14190701.36
118	14168449.55
119	14145789.86
120	14124615.68
121	14103517.99
122	14082192.15
123	14061716.59
124	14041522.86
125	14021456.41
126	14001993.29
127	13982423.97
128	13963929.01
129	13944929.8
130	13925897.18
131	13908163.06
132	13890165.88
133	13873313.57
134	13856393.51
135	13839231.42
136	13823034.18
137	13806469.14
138	13790519.94
139	13775311.7
140	13759452.04
141	13744080.55
142	13729389.65
143	13714947.86
144	13700450.48
145	13685835.74
146	13671500.77
147	13657868.67
148	13644302.64
149	13630964.85
150	13618282.13
151	13604369.61
152	13592164.79
153	13579571.35
154	13566975.83
155	13554749.99
156	13542439.64
157	13530521.6
158	13518453.94
159	13506766.31
160	13495826.54
161	13485228.64
162	13474573.54
163	13463229.13
164	13452870.38
165	13442250.3
166	13431344.27
167	13421480.47
168	13411341.81
169	13400992.11
170	13390817.72
171	13381835.54
172	13372189.26
173	13363478.89
174	13354501.05
175	13345800.74
176	13337374.16
177	13328595.54
178	13320090.24
179	13311995.38
180	13303715.61
181	13295267.04
182	13287187.63
183	13279109.72
184	13270628.81
185	13263304.19
186	13256188.22
187	13248144.45
188	13240914.2
189	13233654.18
190	13226284.21
191	13218734.54
192	13211428.74
193	13204860.34
194	13197864.24
195	13191051.44
196	13183726.33
197	13176632.57
198	13170194.37
199	13164558.21
200	13158189.26
201	13151690.14
202	13145061.96
203	13138446.78
204	13132856.99
205	13127159.27
206	13121636.01
207	13115651.74
208	13110461.86
209	13105396.28
210	13099797.3
211	13094230.9
212	13088575.53
213	13083350.1
214	13078218.89
215	13073624.23
216	13068821.95
217	13063744.27
218	13058802.54
219	13054673.33
220	13050057.04
221	13045693.34
222	13040774.57
223	13036579.93
224	13031930.75
225	13027251.17
226	13023083.88
227	13017897.35
228	13013152.88
229	13009566.82
230	13005448.89
231	13000460.09
232	12995770.55
233	12990936.05
234	12986720.6
235	12982853.07
236	12979058.29
237	12974128.31
238	12970029.36
239	12965820.8
240	12962134.44
241	12958534.78
242	12955062.66
243	12951107.73
244	12947844.35
245	12944157.42
246	12940838.85
247	12937953.05
248	12934080.87
249	12930883.57
250	12926788.69
251	12923581.76
252	12919988.94
253	12916538.41
254	12913573.36
255	12909640.2
256	12906542.15
257	12902846.93
258	12899640.18
259	12896510.68
260	12893123.82
261	12890007.03
262	12887294.67
263	12884192.68
264	12880886.2
265	12878152.93
266	12874809.09
267	12871180.55
268	12868402.61
269	12865000.73
270	12861435.59
271	12858372.03
272	12855337.49
273	12852605.01
274	12849976.1
275	12845868.63
276	12842875.13
277	12840037.91
278	12837334.31
279	12834517
280	12831769.53
281	12829199.27
282	12826763.08
283	12824073.65
284	12821913.87
285	12818900.75
286	12815890.85
287	12813749.48
288	12811264.9
289	12808483.62
290	12806451.7
291	12804597.84
292	12802268.83
293	12799507.38
294	12796863.54
295	12794187.33
296	12791325.56
297	12788740.88
298	12786398.26
299	12783833.04
