iter	Passed	Remaining
0	89	26798
1	148	22115
2	209	20788
3	269	19923
4	331	19565
5	392	19210
6	455	19062
7	514	18786
8	577	18662
9	639	18558
10	700	18410
11	764	18345
12	831	18352
13	893	18259
14	955	18145
15	1020	18110
16	1082	18023
17	1142	17897
18	1204	17808
19	1266	17726
20	1331	17690
21	1394	17626
22	1455	17532
23	1518	17464
24	1581	17401
25	1641	17300
26	1702	17217
27	1765	17150
28	1830	17105
29	1892	17033
30	1953	16955
31	2017	16894
32	2106	17044
33	2223	17392
34	2328	17631
35	2416	17721
36	2475	17598
37	2537	17498
38	2598	17393
39	2663	17315
40	2738	17296
41	2815	17295
42	2892	17287
43	2951	17173
44	3012	17071
45	3077	16991
46	3138	16895
47	3200	16803
48	3260	16702
49	3320	16603
50	3382	16513
51	3444	16426
52	3506	16340
53	3572	16276
54	3633	16184
55	3692	16087
56	3753	16000
57	3819	15936
58	3880	15849
59	3943	15772
60	4003	15685
61	4065	15604
62	4128	15531
63	4192	15458
64	4255	15384
65	4317	15308
66	4375	15216
67	4440	15150
68	4504	15078
69	4568	15009
70	4629	14932
71	4693	14863
72	4760	14802
73	4823	14731
74	4890	14672
75	4957	14611
76	5039	14594
77	5107	14535
78	5173	14472
79	5240	14410
80	5304	14342
81	5364	14262
82	5427	14190
83	5491	14120
84	5557	14056
85	5617	13978
86	5679	13905
87	5744	13838
88	5811	13777
89	5875	13708
90	5938	13638
91	6002	13571
92	6065	13500
93	6130	13435
94	6195	13369
95	6256	13294
96	6323	13234
97	6388	13168
98	6451	13097
99	6513	13027
100	6579	12962
101	6646	12901
102	6710	12833
103	6774	12766
104	6858	12737
105	6926	12677
106	6989	12608
107	7055	12542
108	7120	12477
109	7183	12408
110	7247	12339
111	7308	12267
112	7380	12214
113	7443	12144
114	7505	12074
115	7570	12008
116	7633	11938
117	7699	11875
118	7765	11811
119	7840	11760
120	7902	11691
121	7975	11636
122	8041	11571
123	8107	11506
124	8173	11443
125	8236	11374
126	8298	11304
127	8362	11237
128	8429	11173
129	8495	11110
130	8562	11045
131	8629	10982
132	8695	10918
133	8760	10852
134	8824	10785
135	8889	10719
136	8952	10650
137	9014	10582
138	9076	10513
139	9140	10446
140	9204	10379
141	9267	10311
142	9326	10239
143	9390	10173
144	9452	10104
145	9516	10037
146	9581	9972
147	9645	9906
148	9706	9836
149	9771	9771
150	9831	9701
151	9904	9643
152	9973	9582
153	10037	9515
154	10101	9449
155	10169	9387
156	10235	9322
157	10302	9259
158	10371	9197
159	10438	9133
160	10512	9076
161	10577	9010
162	10639	8942
163	10709	8880
164	10772	8814
165	10848	8756
166	10942	8714
167	11039	8673
168	11108	8610
169	11227	8585
170	11341	8555
171	11410	8491
172	11502	8444
173	11572	8380
174	11652	8323
175	11773	8294
176	11845	8231
177	11931	8177
178	12018	8124
179	12098	8065
180	12183	8009
181	12262	7950
182	12350	7896
183	12434	7838
184	12515	7779
185	12589	7716
186	12667	7654
187	12757	7600
188	12847	7545
189	12926	7483
190	13009	7424
191	13089	7362
192	13165	7299
193	13236	7232
194	13316	7170
195	13394	7107
196	13470	7043
197	13545	6977
198	13621	6913
199	13701	6850
200	13784	6789
201	13858	6723
202	13937	6660
203	14016	6595
204	14090	6529
205	14164	6463
206	14243	6399
207	14316	6332
208	14393	6266
209	14469	6201
210	14560	6141
211	14638	6076
212	14715	6010
213	14794	5945
214	14875	5880
215	14951	5814
216	15025	5746
217	15113	5684
218	15189	5618
219	15258	5548
220	15329	5479
221	15401	5411
222	15483	5346
223	15555	5277
224	15637	5212
225	15744	5155
226	15854	5098
227	15953	5037
228	16056	4978
229	16146	4914
230	16234	4849
231	16401	4807
232	16504	4746
233	16695	4708
234	16849	4660
235	16940	4593
236	17009	4521
237	17099	4454
238	17182	4385
239	17257	4314
240	17335	4243
241	17405	4171
242	17482	4100
243	17557	4029
244	17640	3960
245	17722	3890
246	17803	3820
247	17885	3750
248	17965	3679
249	18052	3610
250	18186	3550
251	18339	3493
252	18522	3440
253	18763	3398
254	18933	3341
255	19092	3281
256	19370	3240
257	19653	3199
258	19815	3136
259	19958	3070
260	20112	3005
261	20330	2948
262	20527	2887
263	20683	2820
264	20912	2762
265	21135	2701
266	21242	2625
267	21344	2548
268	21456	2472
269	21571	2396
270	21667	2318
271	21781	2242
272	21906	2166
273	22023	2089
274	22166	2015
275	22295	1938
276	22436	1862
277	22595	1788
278	22762	1713
279	22861	1632
280	22961	1552
281	23058	1471
282	23144	1390
283	23229	1308
284	23314	1227
285	23395	1145
286	23489	1063
287	23577	982
288	23674	901
289	23769	819
290	23860	737
291	23936	655
292	24047	574
293	24129	492
294	24205	410
295	24409	329
296	24539	247
297	24638	165
298	24720	82
299	24820	0
